timestamp,bvp
1629377371375,9.77
1629377371390,9.11
1629377371406,7.74
1629377371421,5.92
1629377371437,4.04
1629377371453,2.5
1629377371468,1.53
1629377371484,1.13
1629377371500,1.1
1629377371515,1.09
1629377371531,0.83
1629377371546,0.16
1629377371562,-0.89
1629377371578,-2.15
1629377371593,-3.41
1629377371609,-4.48
1629377371625,-5.27
1629377371640,-5.83
1629377371656,-6.26
1629377371671,-6.7
1629377371687,-7.29
1629377371703,-8.14
1629377371718,-9.33
1629377371734,-10.87
1629377371750,-12.68
1629377371765,-14.54
1629377371781,-16.11
1629377371796,-17.03
1629377371812,-17.01
1629377371828,-15.95
