timestamp,hr
1629377488000,67.22
1629377489000,67.25
1629377490000,67.28
1629377491000,67.32
1629377492000,67.33
1629377493000,67.33
1629377494000,67.33
1629377495000,67.33
1629377496000,67.33
1629377497000,67.32
1629377498000,67.32
1629377499000,67.3
1629377500000,67.32
1629377501000,67.35
1629377502000,67.4
1629377503000,67.45
1629377504000,67.5
1629377505000,67.53
1629377506000,67.58
1629377507000,67.62
1629377508000,67.65
1629377509000,67.68
1629377510000,67.72
1629377511000,67.73
1629377512000,67.73
1629377513000,67.75
1629377514000,67.77
1629377515000,67.78
1629377516000,67.8
1629377517000,67.8
1629377518000,67.8
1629377519000,67.8
1629377520000,67.78
1629377521000,67.77
1629377522000,67.67
1629377523000,67.53
1629377524000,67.4
1629377525000,67.38
1629377526000,67.33
1629377527000,67.38
1629377528000,67.38
1629377529000,67.27
1629377530000,67.0
1629377531000,66.88
1629377532000,66.78
1629377533000,66.75
1629377534000,66.78
1629377535000,66.83
1629377536000,66.77
1629377537000,66.7
1629377538000,66.67
1629377539000,66.67
1629377540000,66.7
1629377541000,66.8
1629377542000,66.93
1629377543000,67.07
1629377544000,67.27
1629377545000,67.45
1629377546000,67.68
1629377547000,67.9
1629377548000,68.17
1629377549000,68.4
1629377550000,68.77
1629377551000,69.15
1629377552000,69.5
1629377553000,69.83
1629377554000,70.12
1629377555000,70.42
1629377556000,70.75
1629377557000,71.1
1629377558000,71.45
1629377559000,71.65
1629377560000,71.78
1629377561000,71.88
1629377562000,71.97
1629377563000,72.03
1629377564000,72.08
1629377565000,72.13
1629377566000,72.15
1629377567000,72.17
1629377568000,72.18
1629377569000,72.18
1629377570000,72.18
1629377571000,72.18
1629377572000,72.22
1629377573000,72.23
1629377574000,72.25
1629377575000,72.27
1629377576000,72.28
1629377577000,72.32
1629377578000,72.37
1629377579000,72.42
1629377580000,72.52
1629377581000,72.68
1629377582000,72.83
1629377583000,72.97
1629377584000,73.1
1629377585000,73.03
1629377586000,72.97
1629377587000,72.9
1629377588000,72.87
1629377589000,72.83
1629377590000,72.72
1629377591000,72.68
1629377592000,72.67
1629377593000,72.68
1629377594000,72.68
1629377595000,72.83
1629377596000,73.0
1629377597000,73.18
1629377598000,73.37
1629377599000,73.43
1629377600000,73.52
1629377601000,73.55
1629377602000,73.57
1629377603000,73.53
1629377604000,73.47
1629377605000,73.4
1629377606000,73.27
1629377607000,73.13
1629377608000,72.93
1629377609000,72.72
1629377610000,72.37
1629377611000,72.02
1629377612000,71.75
1629377613000,71.67
1629377614000,71.6
1629377615000,71.47
1629377616000,71.32
1629377617000,71.2
1629377618000,71.08
1629377619000,71.12
1629377620000,71.18
1629377621000,71.27
1629377622000,71.4
1629377623000,71.55
1629377624000,71.77
1629377625000,72.05
1629377626000,72.02
1629377627000,72.02
1629377628000,72.1
1629377629000,72.15
1629377630000,72.22
1629377631000,72.32
1629377632000,72.38
1629377633000,72.43
1629377634000,72.5
1629377635000,72.55
1629377636000,72.6
1629377637000,72.65
1629377638000,72.68
1629377639000,72.72
1629377640000,72.72
1629377641000,72.65
1629377642000,72.58
1629377643000,72.63
1629377644000,72.63
1629377645000,72.65
1629377646000,72.67
1629377647000,72.68
1629377648000,72.68
1629377649000,72.65
1629377650000,72.65
1629377651000,72.57
1629377652000,72.47
1629377653000,72.35
1629377654000,72.23
1629377655000,72.1
1629377656000,71.95
1629377657000,71.77
1629377658000,71.58
1629377659000,71.52
1629377660000,71.43
1629377661000,71.33
1629377662000,71.22
1629377663000,71.13
1629377664000,71.0
1629377665000,70.88
1629377666000,70.8
1629377667000,70.72
1629377668000,70.67
1629377669000,70.65
1629377670000,70.63
1629377671000,70.6
1629377672000,70.52
1629377673000,70.3
1629377674000,70.1
1629377675000,69.93
1629377676000,69.75
1629377677000,69.52
1629377678000,69.27
1629377679000,69.02
1629377680000,68.78
1629377681000,68.58
1629377682000,68.35
1629377683000,68.07
1629377684000,67.73
1629377685000,67.38
1629377686000,67.37
1629377687000,67.3
1629377688000,67.12
1629377689000,66.98
1629377690000,66.85
1629377691000,66.93
1629377692000,67.02
1629377693000,67.12
1629377694000,67.22
1629377695000,67.32
1629377696000,67.37
1629377697000,67.5
1629377698000,67.62
1629377699000,67.75
1629377700000,67.85
1629377701000,68.28
1629377702000,68.7
1629377703000,69.08
1629377704000,69.48
1629377705000,69.9
1629377706000,70.27
1629377707000,70.42
1629377708000,70.38
1629377709000,70.4
1629377710000,70.43
1629377711000,70.5
1629377712000,70.58
1629377713000,70.63
1629377714000,70.68
1629377715000,70.72
1629377716000,70.73
1629377717000,70.77
1629377718000,70.8
1629377719000,70.82
1629377720000,70.83
1629377721000,70.87
1629377722000,70.92
1629377723000,70.98
1629377724000,71.07
1629377725000,71.15
1629377726000,71.22
1629377727000,71.3
1629377728000,71.38
1629377729000,71.48
1629377730000,71.58
1629377731000,71.68
1629377732000,71.78
1629377733000,71.85
1629377734000,71.92
1629377735000,71.98
1629377736000,72.07
1629377737000,72.15
